concept_id	conc_id	conc_name	orthographic	ipa	tokens	language_id	glottocode	source	comment
dew	1977	DEW	pamtwi	pam tɯi	p a m + t ɯi	KokborokRupini	rupi1234	Mery Rupini 2022	
dew	1977	DEW	pantoi	pan toi	p a n + t oi	KokborokTripura	tipp1239	Mery Rupini 2022	
die:to	1494	DIE	tʰɯinai	tʰɯinai	tʰ ɯi + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
die:to	1494	DIE	thoi	tʰoi	tʰ oi	KauBruReang	hala1254	Mery Rupini 2022	
die:to	1494	DIE	thui/thwi	tʰui	tʰ ui	KokborokDebbarma	debb1238	Mery Rupini 2022	
die:to	1494	DIE	thui/thwi	tʰɯi	tʰ ɯi	KokborokDebbarma	debb1238	Mery Rupini 2022	
die:to	1494	DIE	thwi	tʰɯi	tʰ ɯi	KokborokRupini	rupi1234	Mery Rupini 2022	
die:to	1494	DIE	thoi	tʰoi	tʰ oi	KokborokTripura	tipp1239	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	betha rawkha	be tʰa raɯ kʰa	b e + tʰ a + r aɯ + kʰ a	KauBruReang	hala1254	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	bejal	be ʧal	b e + ʧ a l	KokborokDebbarma	debb1238	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	rak	rak	r a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	pechal	pe ʧʰal	p e + ʧʰ a l	KokborokRupini	rupi1234	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	rak	rak	r a k	KokborokRupini	rupi1234	Mery Rupini 2022	
difficult..hard:to.be	584	DIFFICULT	karak	ka rak	k a + r a k	KokborokTripura	tipp1239	Mery Rupini 2022	
dig:to	1418	DIG	dzaunai	dzaunai	dz au + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
dig:to	1418	DIG	khui	kʰui	kʰ ui	KauBruReang	hala1254	Mery Rupini 2022	
dig:to	1418	DIG	khur	kʰur	kʰ u r	KokborokDebbarma	debb1238	Mery Rupini 2022	
dig:to	1418	DIG	khud	kʰud	kʰ u d	KokborokRupini	rupi1234	Mery Rupini 2022	
dig:to	1418	DIG	khur	kʰur	kʰ u r	KokborokTripura	tipp1239	Mery Rupini 2022	
dirty:to.be	1230	DIRTY	snuh	s nuʔ	s + n u ʔ	KauBruReang	hala1254	Mery Rupini 2022	
dirty:to.be	1230	DIRTY	tena	te na	t e + n a	KokborokDebbarma	debb1238	Mery Rupini 2022	
dirty:to.be	1230	DIRTY	wnwka	ɯ nɯ ka	ɯ + n ɯ + k a	KokborokRupini	rupi1234	Mery Rupini 2022	
dirty:to.be	1230	DIRTY	sincha	sin ʧʰa	s i n + ʧʰ a	KokborokTripura	tipp1239	Mery Rupini 2022	
dive:to	119	DIVE	youhk	jouhk	j ou h k	KauBruReang	hala1254	Mery Rupini 2022	
dive:to	119	DIVE	yog	jog	j o g	KokborokDebbarma	debb1238	Mery Rupini 2022	
dive:to	119	DIVE	yok	jok	j o k	KokborokTripura	tipp1239	Mery Rupini 2022	
dog	2009	DOG	sima	sima	s i + m a	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
dog	2009	DOG	sui	sui	s ui	KauBruReang	hala1254	Mery Rupini 2022	
dog	2009	DOG	sui	sui	s ui	KokborokDebbarma	debb1238	Mery Rupini 2022	
dog	2009	DOG	swi	sɯi	s ɯi	KokborokDebbarma	debb1238	Mery Rupini 2022	
dog	2009	DOG	swi	sɯi	s ɯi	KokborokRupini	rupi1234	Mery Rupini 2022	
dog	2009	DOG	sui	sui	s ui	KokborokTripura	tipp1239	Mery Rupini 2022	
door::way	1567	DOOR	hablaŋ	hablaŋ	ʔ a + b l a ŋ	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
door::way	1567	DOOR	doka	do ka	d o + k a	KauBruReang	hala1254	Mery Rupini 2022	
door::way	1567	DOOR	dogar	dogar	d o g a r	KokborokDebbarma	debb1238	Mery Rupini 2022	
door::way	1567	DOOR	dugar	dugar	d u g a r	KokborokDebbarma	debb1238	Mery Rupini 2022	
door::way	1567	DOOR	duwar	du war	d u + w a r	KokborokRupini	rupi1234	Mery Rupini 2022	
door::way	1567	DOOR	duwat	du wat	d u + w a t	KokborokTripura	tipp1239	Mery Rupini 2022	
dove	1853	DOVE	tauthu	tau tʰu	t au + tʰ u	KauBruReang	hala1254	Mery Rupini 2022	
dove	1853	DOVE	pharuk	pʰa ruk	pʰ a + r u k	KokborokDebbarma	debb1238	Mery Rupini 2022	
dove	1853	DOVE	pharu	pʰa ru	pʰ a + r u	KokborokRupini	rupi1234	Mery Rupini 2022	
dove	1853	DOVE	tokthu	tok tʰu	t o k + tʰ u	KokborokTripura	tipp1239	Mery Rupini 2022	
dream	–	–	simaŋnunai	simaŋnunai	s i m a ŋ + n u n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
dream	–	–	immang	im maŋ	i m + m a ŋ	KauBruReang	hala1254	Mery Rupini 2022	
dream	–	–	emang	e maŋ	e + m a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
dream	–	–	imang	i maŋ	i + m a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
dream	–	–	imang	i maŋ	i + m a ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
dream	–	–	emang	e maŋ	e + m a ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
drink:to	1401	DRINK	dɯiluŋnai	dɯiluŋnai	d ɯi + l u ŋ + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
drink:to	1401	DRINK	nung	nuŋ	n u ŋ	KauBruReang	hala1254	Mery Rupini 2022	
drink:to	1401	DRINK	nwngo	nɯ ŋo	n ɯ + ŋ o	KauBruReang	hala1254	Mery Rupini 2022	
drink:to	1401	DRINK	nungjaknai	nuŋ ʧak nai	n u ŋ + ʧ a k + n ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
drink:to	1401	DRINK	nwngchaknai	nɯŋ ʧʰak nai	n ɯ ŋ + ʧʰ a k + n ai	KokborokRupini	rupi1234	Mery Rupini 2022	
drink:to	1401	DRINK	lwng	lɯŋ	l ɯ ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
drink:to	1401	DRINK	nung mani	nuŋ ma ni	n u ŋ + m a + n i	KokborokTripura	tipp1239	Mery Rupini 2022	
drum	908	DRUM	kʰam	kʰam	kʰ a m	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
drum	908	DRUM	kham	kʰam	kʰ a m	KauBruReang	hala1254	Mery Rupini 2022	
drum	908	DRUM	kham	kʰam	kʰ a m	KokborokDebbarma	debb1238	Mery Rupini 2022	
drum	908	DRUM	kham	kʰam	kʰ a m	KokborokRupini	rupi1234	Mery Rupini 2022	
drum	908	DRUM	kham	kʰam	kʰ a m	KokborokTripura	tipp1239	Mery Rupini 2022	
drunk:to.be	1463	DRUNK	kpheih	k pʰeiʔ	k + pʰ ei ʔ	KauBruReang	hala1254	Mery Rupini 2022	
drunk:to.be	1463	DRUNK	kwphek	kɯ pʰek	k ɯ + pʰ e k	KokborokRupini	rupi1234	Mery Rupini 2022	
drunk:to.be	1463	DRUNK	kayek	ka jek	k a + j e k	KokborokTripura	tipp1239	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	krain	k rain	k + r ai n	KauBruReang	hala1254	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	phrain	pʰ rain	pʰ + r ai n	KauBruReang	hala1254	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	kuran	ku ran	k u + r a n	KokborokDebbarma	debb1238	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	kwran	kɯ ran	k ɯ + r a n	KokborokDebbarma	debb1238	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	phuran	pʰu ran	pʰ u + r a n	KokborokDebbarma	debb1238	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	kwran	kɯ ran	k ɯ + r a n	KokborokRupini	rupi1234	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	phwran	pʰɯ ran	pʰ ɯ + r a n	KokborokRupini	rupi1234	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	karan	ka ran	k a + r a n	KokborokTripura	tipp1239	Mery Rupini 2022	
dry..in.sun:to	1398	DRY	pharan	pʰa ran	pʰ a + r a n	KokborokTripura	tipp1239	Mery Rupini 2022	
duck	1360	DUCK	haŋsʊ	haŋsʊ	ʔ a ŋ + s ʊ	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	হংস hong.xo? interesting that it's not Tai; though hang < han?
duck	1360	DUCK	tokhom	to kʰom	t o + kʰ o m	KauBruReang	hala1254	Mery Rupini 2022	
duck	1360	DUCK	takhum	ta kʰum	t a + kʰ u m	KokborokDebbarma	debb1238	Mery Rupini 2022	
duck	1360	DUCK	taokhom	tao kʰom	t ao + kʰ o m	KokborokRupini	rupi1234	Mery Rupini 2022	
duck	1360	DUCK	takhum	ta kʰum	t a + kʰ u m	KokborokTripura	tipp1239	Mery Rupini 2022	
dust	2	DUST	harpu	har pu	h a r + p u	KauBruReang	hala1254	Mery Rupini 2022	
dust	2	DUST	haduli	ha du li	h a + d u + l i	KokborokDebbarma	debb1238	Mery Rupini 2022	
dust	2	DUST	hadulwi	ha du lɯi	h a + d u + l ɯi	KokborokDebbarma	debb1238	Mery Rupini 2022	
dust	2	DUST	haduri	ha du ri	h a + d u + r i	KokborokRupini	rupi1234	Mery Rupini 2022	
dust	2	DUST	harpu	har pu	h a r + p u	KokborokRupini	rupi1234	Mery Rupini 2022	
dust	2	DUST	haduroi	ha du roi	h a + d u + r oi	KokborokTripura	tipp1239	Mery Rupini 2022	
ear	1247	EAR	kʰumaʔ	kʰumaʔ	kʰ u + m a ʔ	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
ear	1247	EAR	khuiyuin	kʰui juin	kʰ ui + j ui n	KauBruReang	hala1254	Mery Rupini 2022	
ear	1247	EAR	khunju	kʰun ʧu	kʰ u n + ʧ u	KokborokDebbarma	debb1238	Mery Rupini 2022	
ear	1247	EAR	khunchur	kʰun ʧʰur	kʰ u n + ʧʰ u r	KokborokRupini	rupi1234	Mery Rupini 2022	
ear	1247	EAR	khunjor	kʰun ʧor	kʰ u n + ʧ o r	KokborokTripura	tipp1239	Mery Rupini 2022	
ear..of.grain	–	–	gom	gom	g o m	KauBruReang	hala1254	Mery Rupini 2022	
east	1877	EAST	salka	sa l ka	s a + l + k a	KauBruReang	hala1254	Mery Rupini 2022	
east	1877	EAST	salka	sal ka	s a l + k a	KokborokDebbarma	debb1238	Mery Rupini 2022	
east	1877	EAST	sarka	sar ka	s a r + k a	KokborokRupini	rupi1234	Mery Rupini 2022	
east	1877	EAST	pub	pub	p u b	KokborokTripura	tipp1239	Mery Rupini 2022	
east	1877	EAST	salka	sal ka	s a l + k a	KokborokTripura	tipp1239	Mery Rupini 2022	
easy:to.be	686	EASY	klai	k lai	k + l ai	KauBruReang	hala1254	Mery Rupini 2022	
easy:to.be	686	EASY	kwlai	kɯ lai	k ɯ + l ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
easy:to.be	686	EASY	kwrai	kɯ rai	k ɯ + r ai	KokborokRupini	rupi1234	Mery Rupini 2022	
easy:to.be	686	EASY	kalaisa	ka lai sa	k a + l ai + s a	KokborokTripura	tipp1239	Mery Rupini 2022	
eat..general:to	1336	EAT	dzanai	dzanai	dz a + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
eat..general:to	1336	EAT	mai cha	mai ʧʰa	m ai + ʧʰ a	KauBruReang	hala1254	Mery Rupini 2022	
eat..general:to	1336	EAT	mai cha	mai ʧʰa	m ai + ʧʰ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
eat..general:to	1336	EAT	mai cha	mai ʧʰa	m ai + ʧʰ a	KokborokRupini	rupi1234	Mery Rupini 2022	
eat..general:to	1336	EAT	mai cha	mai ʧʰa	m ai + ʧʰ a	KokborokTripura	tipp1239	Mery Rupini 2022	
eat..general:to	1336	EAT	chamun- nungmung	ʧʰa mun nuŋ muŋ	ʧʰ a + m u n + n u ŋ + m u ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
egg..general	744	EGG	daudoi	daudoi	d au + d oi	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
egg..general	744	EGG	tautwi	tau tɯi	t au + t ɯi	KauBruReang	hala1254	Mery Rupini 2022	
egg..general	744	EGG	toktwi	tok tɯi	t o k + t ɯi	KokborokDebbarma	debb1238	Mery Rupini 2022	
egg..general	744	EGG	taotwi	tao tɯi	t ao + t ɯi	KokborokRupini	rupi1234	Mery Rupini 2022	
egg..general	744	EGG	taktoi	tak toi	t a k + t oi	KokborokTripura	tipp1239	Mery Rupini 2022	
eggplant..brinjal	1146	AUBERGINE	pʰantʰao	pʰantʰao	pʰ a n + tʰ ao	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
eggplant..brinjal	1146	AUBERGINE	phanthau	pʰan tʰau	pʰ a n + tʰ au	KauBruReang	hala1254	Mery Rupini 2022	
eggplant..brinjal	1146	AUBERGINE	phantok	pʰan tok	pʰ a n + t o k	KokborokDebbarma	debb1238	Mery Rupini 2022	
eggplant..brinjal	1146	AUBERGINE	phanthao	pʰan tʰao	pʰ a n + tʰ ao	KokborokRupini	rupi1234	Mery Rupini 2022	
eggplant..brinjal	1146	AUBERGINE	fanak	fa nak	f a + n a k	KokborokTripura	tipp1239	Mery Rupini 2022	
elephant	1290	ELEPHANT	mɔider	mɔider	m ɔi + d e r	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	what an odd shape. related to deer? STEDT has *m-gwi(y) and *mey (flesh) as the origin of this mV- sylable for NN languages. Might be coincidental similarity to *mey
elephant	1290	ELEPHANT	maiyung	mai juŋ	m ai + j u ŋ	KauBruReang	hala1254	Mery Rupini 2022	
elephant	1290	ELEPHANT	mayung	ma juŋ	m a + j u ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
elephant	1290	ELEPHANT	mayung	ma juŋ	m a + j u ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
elephant	1290	ELEPHANT	mayung	ma juŋ	m a + j u ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
embrace..hug:to	928	EMBRACE	gbaulai	g bau lai	g + b au + l ai	KauBruReang	hala1254	Mery Rupini 2022	
embrace..hug:to	928	EMBRACE	kubak	ku bak	k u + b a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
embrace..hug:to	928	EMBRACE	kwbak	kɯ bak	k ɯ + b a k	KokborokDebbarma	debb1238	Mery Rupini 2022	
embrace..hug:to	928	EMBRACE	kwbak	kɯ bak	k ɯ + b a k	KokborokRupini	rupi1234	Mery Rupini 2022	
embrace..hug:to	928	EMBRACE	khabak	kʰa bak	kʰ a + b a k	KokborokTripura	tipp1239	Mery Rupini 2022	
emerge:to	1076	EMERGE (APPEAR)	wngkhaiyo	ɯŋ kʰai jo	ɯ ŋ + kʰ ai + j o	KauBruReang	hala1254	Mery Rupini 2022	
emerge:to	1076	EMERGE (APPEAR)	nongkhor	noŋ kʰor	n o ŋ + kʰ o r	KokborokDebbarma	debb1238	Mery Rupini 2022	
emerge:to	1076	EMERGE (APPEAR)	ongkhor	oŋ kʰor	o ŋ + kʰ o r	KokborokDebbarma	debb1238	Mery Rupini 2022	
emerge:to	1076	EMERGE (APPEAR)	nokhat	no kʰat	n o + kʰ a t	KokborokRupini	rupi1234	Mery Rupini 2022	
emerge:to	1076	EMERGE (APPEAR)	awkhaloi	aɯ kʰa loi	aɯ + kʰ a + l oi	KokborokTripura	tipp1239	Mery Rupini 2022	
empty:to.be	1624	EMPTY	bukcha	buk ʧʰa	b u k + ʧʰ a	KauBruReang	hala1254	Mery Rupini 2022	
empty:to.be	1624	EMPTY	bukcha	buk ʧʰa	b u k + ʧʰ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
empty:to.be	1624	EMPTY	bukwcha	buk ɯ ʧʰa	b u k + ɯ + ʧʰ a	KokborokRupini	rupi1234	Mery Rupini 2022	
empty:to.be	1624	EMPTY	bukcha	buk ʧʰa	b u k + ʧʰ a	KokborokTripura	tipp1239	Mery Rupini 2022	
enter:to	749	ENTER	hapnai	hapnai	ʔ a p + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
enter:to	749	ENTER	hahsoin	hah soin	h a ʔ + s oi n	KauBruReang	hala1254	Mery Rupini 2022	
enter:to	749	ENTER	hab	hab	h a b	KokborokDebbarma	debb1238	Mery Rupini 2022	
enter:to	749	ENTER	hab	hab	h a b	KokborokRupini	rupi1234	Mery Rupini 2022	
enter:to	749	ENTER	habai	ha bai	h a + b ai	KokborokTripura	tipp1239	Mery Rupini 2022	
ereyesterday	1180	DAY BEFORE YESTERDAY	dakʰalɔi	dakʰalɔi	d a + kʰ a + l ɔi	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
ereyesterday	1180	DAY BEFORE YESTERDAY	miya	mi ja	m i + j a	KauBruReang	hala1254	Mery Rupini 2022	
ereyesterday	1180	DAY BEFORE YESTERDAY	okhli	o kʰli	o + kʰ l i	KokborokDebbarma	debb1238	Mery Rupini 2022	
ereyesterday	1180	DAY BEFORE YESTERDAY	okhri	o kʰri	o + kʰ r i	KokborokRupini	rupi1234	Mery Rupini 2022	
ereyesterday	1180	DAY BEFORE YESTERDAY	miya	mi ja	m i + j a	KokborokTripura	tipp1239	Mery Rupini 2022	
evening	1629	EVENING	sarui	sa rui	s a + r ui	KauBruReang	hala1254	Mery Rupini 2022	
evening	1629	EVENING	sanja	san ʧa	s a n + ʧ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
evening	1629	EVENING	sairik	sai rik	s ai + r i k	KokborokDebbarma	debb1238	Mery Rupini 2022	
evening	1629	EVENING	sari	sa ri	s a + r i	KokborokRupini	rupi1234	Mery Rupini 2022	
evening	1629	EVENING	sanja	san ʧa	s a n + ʧ a	KokborokRupini	rupi1234	Mery Rupini 2022	
evening	1629	EVENING	sari	sa ri	s a + r i	KokborokTripura	tipp1239	Mery Rupini 2022	
extinguish..fire:to	127	EXTINGUISH	orkʰumanai	orkʰumanai	o r + kʰ u + m a + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
extinguish..fire:to	127	EXTINGUISH	suthaiyo	su tʰai jo	s u + tʰ ai + j o	KauBruReang	hala1254	Mery Rupini 2022	
extinguish..fire:to	127	EXTINGUISH	supthar	sup tʰar	s u p + tʰ a r	KokborokDebbarma	debb1238	Mery Rupini 2022	
extinguish..fire:to	127	EXTINGUISH	supthat	sup tʰat	s u p + tʰ a t	KokborokRupini	rupi1234	Mery Rupini 2022	
extinguish..fire:to	127	EXTINGUISH	buthal	bu tʰal	b u + tʰ a l	KokborokTripura	tipp1239	Mery Rupini 2022	
eye	1248	EYE	meɡɔn	meɡɔn	m e + ɡ ɔ n	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
eye	1248	EYE	mkoih	m koiʔ	m + k oi ʔ	KauBruReang	hala1254	Mery Rupini 2022	
eye	1248	EYE	mokol	mo kol	m o + k o l	KokborokDebbarma	debb1238	Mery Rupini 2022	
eye	1248	EYE	mwkol	mɯ kol	m ɯ + k o l	KokborokRupini	rupi1234	Mery Rupini 2022	
eye	1248	EYE	mwkor	mɯ kor	m ɯ + k o r	KokborokRupini	rupi1234	Mery Rupini 2022	
eye	1248	EYE	mokol	mo kol	m o + k o l	KokborokTripura	tipp1239	Mery Rupini 2022	
eye::brow	1173	EYEBROW	muhsa bwkhmo	muh sa bɯ kʰ mo	m u ʔ + s a + b ɯ + kʰ + m o	KauBruReang	hala1254	Mery Rupini 2022	
eye::brow	1173	EYEBROW	mokol bori	mo kol bo ri	m o + k o l + b o + r i	KokborokDebbarma	debb1238	Mery Rupini 2022	
eye::brow	1173	EYEBROW	mukta bwkhwmwr	muk ta bɯ kʰɯ mɯr	m u k + t a + b ɯ + kʰ ɯ + m ɯ r	KokborokRupini	rupi1234	Mery Rupini 2022	
eye::brow	1173	EYEBROW	muksaram	muk sa ram	m u k + s a + r a m	KokborokTripura	tipp1239	Mery Rupini 2022	
eye::lid	17	EYELID	mkoih birphing	m koiʔ bir pʰiŋ	m + k oi ʔ + b i r + pʰ i ŋ	KauBruReang	hala1254	Mery Rupini 2022	
eye::lid	17	EYELID	mokol bukur	mo kol bu kur	m o + k o l + b u + k u r	KokborokDebbarma	debb1238	Mery Rupini 2022	
eye::lid	17	EYELID	mukkur	muk kur	m u k + k u r	KokborokRupini	rupi1234	Mery Rupini 2022	
eye::lid	17	EYELID	makal balai	ma kal ba lai	m a + k a l + b a + l ai	KokborokTripura	tipp1239	Mery Rupini 2022	
face	1560	FACE	mukʰaŋ	mukʰaŋ	m u + kʰ a ŋ	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
face	1560	FACE	muhkhang	muʔ kʰaŋ	m u ʔ + kʰ a ŋ	KauBruReang	hala1254	Mery Rupini 2022	
face	1560	FACE	mukhang	mu kʰaŋ	m u + kʰ a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
face	1560	FACE	mwkhang	mɯ kʰaŋ	m ɯ + kʰ a ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
face	1560	FACE	mwkhang	mɯ kʰaŋ	m ɯ + kʰ a ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
face	1560	FACE	makhang	ma kʰaŋ	m a + kʰ a ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
faeces..excrement	675	FAECES (EXCREMENT)	khi-stwi	kʰi s tɯi	kʰ i + s + t ɯi	KauBruReang	hala1254	Mery Rupini 2022	
faeces..excrement	675	FAECES (EXCREMENT)	khi	kʰi	kʰ i	KokborokDebbarma	debb1238	Mery Rupini 2022	
faeces..excrement	675	FAECES (EXCREMENT)	khi	kʰi	kʰ i	KokborokRupini	rupi1234	Mery Rupini 2022	
faeces..excrement	675	FAECES (EXCREMENT)	khi-sotoi	kʰi so toi	kʰ i + s o + t oi	KokborokTripura	tipp1239	Mery Rupini 2022	
fall.down..of.objects:to	1280	FALL	ɡoɡlinai	ɡoɡlinai	ɡ o + ɡ l i + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	fall-people
fall.down..of.objects:to	1280	FALL	krai	k rai	k + r ai	KauBruReang	hala1254	Mery Rupini 2022	
fall.down..of.objects:to	1280	FALL	kwlai	kɯ lai	k ɯ + l ai	KokborokDebbarma	debb1238	Mery Rupini 2022	
fall.down..of.objects:to	1280	FALL	kwrai	kɯ rai	k ɯ + r ai	KokborokRupini	rupi1234	Mery Rupini 2022	
fall.down..of.objects:to	1280	FALL	kalai	ka lai	k a + l ai	KokborokTripura	tipp1239	Mery Rupini 2022	
far:to.be	1406	FAR	ɡədzanao	ɡədzanao	ɡ ə + dz a + n ao	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
far:to.be	1406	FAR	kchal	k ʧʰal	k + ʧʰ a l	KauBruReang	hala1254	Mery Rupini 2022	
far:to.be	1406	FAR	hachal	ha ʧʰal	h a + ʧʰ a l	KokborokDebbarma	debb1238	Mery Rupini 2022	
far:to.be	1406	FAR	hakcha	hak ʧʰa	h a k + ʧʰ a	KokborokDebbarma	debb1238	Mery Rupini 2022	
far:to.be	1406	FAR	kwchar	kɯ ʧʰar	k ɯ + ʧʰ a r	KokborokRupini	rupi1234	Mery Rupini 2022	
far:to.be	1406	FAR	kachal	ka ʧʰal	k a + ʧʰ a l	KokborokTripura	tipp1239	Mery Rupini 2022	
fast:to.be	1631	FAST	daidi	dai di	d ai + d i	KauBruReang	hala1254	Mery Rupini 2022	
fast:to.be	1631	FAST	daiti	dai ti	d ai + t i	KokborokDebbarma	debb1238	Mery Rupini 2022	
fast:to.be	1631	FAST	kodo	ko do	k o + d o	KokborokDebbarma	debb1238	Mery Rupini 2022	
fast:to.be	1631	FAST	dakti	dak ti	d a k + t i	KokborokRupini	rupi1234	Mery Rupini 2022	
fast:to.be	1631	FAST	kodo	ko do	k o + d o	KokborokRupini	rupi1234	Mery Rupini 2022	
fast:to.be	1631	FAST	daktoi	dak toi	d a k + t oi	KokborokTripura	tipp1239	Mery Rupini 2022	
fat:to.be	1279	FAT (OBESE)	lədə	lədə	l ə + d ə	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
fat:to.be	1279	FAT (OBESE)	mmang kto	m maŋ k to	m + m a ŋ + k + t o	KauBruReang	hala1254	Mery Rupini 2022	
fat:to.be	1279	FAT (OBESE)	kuphung	ku pʰuŋ	k u + pʰ u ŋ	KokborokDebbarma	debb1238	Mery Rupini 2022	
fat:to.be	1279	FAT (OBESE)	kuphung	ku pʰuŋ	k u + pʰ u ŋ	KokborokRupini	rupi1234	Mery Rupini 2022	
fat:to.be	1279	FAT (OBESE)	kuphung	ku pʰuŋ	k u + pʰ u ŋ	KokborokTripura	tipp1239	Mery Rupini 2022	
fat:to.be	1279	FAT (OBESE)	londi	lon di	l o n + d i	KokborokTripura	tipp1239	Mery Rupini 2022	
fat..substance	323	FAT (ORGANIC SUBSTANCE)	mphan	m pʰan	m + pʰ a n	KauBruReang	hala1254	Mery Rupini 2022	
fat..substance	323	FAT (ORGANIC SUBSTANCE)	bupham	bu pʰam	b u + pʰ a m	KokborokDebbarma	debb1238	Mery Rupini 2022	
fat..substance	323	FAT (ORGANIC SUBSTANCE)	bupham	bu pʰam	b u + pʰ a m	KokborokRupini	rupi1234	Mery Rupini 2022	
fat..substance	323	FAT (ORGANIC SUBSTANCE)	bwpha	bɯ pʰa	b ɯ + pʰ a	KokborokTripura	tipp1239	Mery Rupini 2022	
father	1217	FATHER	apʰa	apʰa	a + pʰ a	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
father	1217	FATHER	mmpha	m m pʰa	m + m + pʰ a	KauBruReang	hala1254	Mery Rupini 2022	
father	1217	FATHER	baba	ba ba	b a + b a	KokborokDebbarma	debb1238	Mery Rupini 2022	
father	1217	FATHER	babu	ba bu	b a + b u	KokborokDebbarma	debb1238	Mery Rupini 2022	
father	1217	FATHER	pa	pa	p a	KokborokRupini	rupi1234	Mery Rupini 2022	
father	1217	FATHER	pupa	pu pa	p u + p a	KokborokRupini	rupi1234	Mery Rupini 2022	
father	1217	FATHER	Bwfaa	bɯ faa	b ɯ + f aa	KokborokTripura	tipp1239	Mery Rupini 2022	
father.in.law	–	–	mkraa	m k raa	m + k + r aa	KauBruReang	hala1254	Mery Rupini 2022	
father.in.law	–	–	kwra	kɯ ra	k ɯ + r a	KokborokDebbarma	debb1238	Mery Rupini 2022	
father.in.law	–	–	kwra	kɯ ra	k ɯ + r a	KokborokRupini	rupi1234	Mery Rupini 2022	
father.in.law	–	–	kara	ka ra	k a + r a	KokborokTripura	tipp1239	Mery Rupini 2022	
fear:to	1419	FEAR (BE AFRAID)	ɡinai	ɡinai	ɡ i + n ai	BodoKokrajhar	bodo1269	Dipjyoti Goswami 2021	
fear:to	1419	FEAR (BE AFRAID)	kri	k ri	k + r i	KauBruReang	hala1254	Mery Rupini 2022	
fear:to	1419	FEAR (BE AFRAID)	kiri	ki ri	k i + r i	KokborokDebbarma	debb1238	Mery Rupini 2022	
fear:to	1419	FEAR (BE AFRAID)	kiri	ki ri	k i + r i	KokborokRupini	rupi1234	Mery Rupini 2022	
fear:to	1419	FEAR (BE AFRAID)	kri	k ri	k + r i	KokborokTripura	tipp1239	Mery Rupini 2022	
feather	1201	FEATHER	tau-krang	tau k raŋ	t au + k + r a ŋ	KauBruReang	hala1254	Mery Rupini 2022	bird feather
